personnel_id,week,duty_hours,consecutive_duty_days,overtime_hours,workload_score,sleep_hours,fatigue_score,stress_score,mood_score,emotional_exhaustion,attendance_score,activity_level,performance_score,social_withdrawal,behavioral_change,age,service_years,rank_level,transfer_frequency,training_hours,deployment_days,deployment_frequency,operational_exposure,leave_days,days_since_last_leave,leave_frequency,stress_risk_score,stress_risk,burnout_risk_score,burnout_risk
P0001,1,63,7,18,4.5,6.1,5.6,5.4,6.1,5.5,78.9,87.5,92.1,6.1,3.6,27,4,Senior,2,11.1,77,1,1,1,10,1,48.9,Moderate,46.7,Moderate
P0001,2,58,11,13,4.3,6.5,3.3,5.3,6.7,4.6,90.4,93.9,75.8,2.0,1.7,27,4,Senior,2,11.1,77,1,1,1,10,1,45.8,Moderate,44.6,Moderate
P0001,3,39,14,0,1.1,7.0,3.8,4.0,8.2,5.3,89.0,88.9,81.7,1.4,1.0,27,4,Senior,2,11.1,77,1,1,1,10,1,34.1,Moderate,34.4,Moderate
P0001,4,37,9,0,3.0,7.8,2.0,3.8,7.3,3.3,97.3,79.9,78.0,3.8,3.9,27,4,Senior,2,11.1,77,1,1,1,10,1,30.6,Moderate,30.7,Moderate
P0001,5,43,4,0,3.3,7.7,3.6,2.2,6.6,3.9,81.4,79.7,82.3,3.0,2.0,27,4,Senior,2,11.1,77,1,1,1,10,1,25.9,Low,34.8,Moderate
P0001,6,46,12,1,2.4,7.3,4.3,1.0,6.4,2.2,86.9,87.9,81.8,1.2,3.3,27,4,Senior,2,11.1,77,1,1,1,10,1,29.9,Low,35.3,Moderate
P0001,7,46,2,1,1.5,6.9,3.0,1.0,9.4,1.7,91.5,87.7,94.5,2.6,2.2,27,4,Senior,2,11.1,77,1,1,1,10,1,17.4,Low,22.7,Low
P0001,8,41,8,0,2.3,6.8,3.6,6.1,6.2,5.7,92.1,74.7,89.4,3.6,3.9,27,4,Senior,2,11.1,77,1,1,1,10,1,39.4,Moderate,37.3,Moderate
P0001,9,52,11,7,2.8,7.0,4.0,2.3,8.0,3.5,80.2,68.5,81.4,2.7,6.0,27,4,Senior,2,11.1,77,1,1,1,10,1,32.8,Moderate,37.3,Moderate
P0001,10,42,14,0,2.0,6.5,3.2,3.3,7.4,3.2,83.4,80.6,88.5,1.7,3.9,27,4,Senior,2,11.1,77,1,1,1,10,1,29.4,Low,35.4,Moderate
P0001,11,68,5,23,7.9,8.3,3.1,4.9,9.0,5.5,90.3,75.2,85.8,3.7,2.4,27,4,Senior,2,11.1,77,1,1,1,10,1,35.9,Moderate,44.7,Moderate
P0001,12,45,4,0,2.1,5.7,5.3,4.9,3.9,6.0,91.9,81.6,71.8,4.3,3.7,27,4,Senior,2,11.1,77,1,1,1,10,1,43.2,Moderate,45.9,Moderate
P0002,1,56,12,11,3.1,5.2,6.7,5.9,4.3,4.9,87.3,98.7,87.6,1.9,1.3,44,3,Junior,2,14.0,97,3,10,12,8,4,56.6,High,58.0,Moderate
P0002,2,57,9,12,4.0,6.1,3.9,4.2,5.7,3.7,89.7,81.6,86.9,6.6,3.6,44,3,Junior,2,14.0,97,3,10,12,8,4,44.0,Moderate,45.5,Moderate
P0002,3,44,2,0,1.0,7.3,2.1,3.0,7.0,3.3,88.7,100.0,88.7,4.4,2.8,44,3,Junior,2,14.0,97,3,10,12,8,4,24.9,Low,24.1,Low
P0002,4,42,2,0,1.9,5.2,6.1,3.0,5.4,4.0,91.9,100.0,77.3,1.2,1.7,44,3,Junior,2,14.0,97,3,10,12,8,4,35.4,Moderate,44.8,Moderate
P0002,5,60,11,15,4.2,6.7,3.1,2.0,5.4,3.3,93.2,98.6,76.3,2.6,1.9,44,3,Junior,2,14.0,97,3,10,12,8,4,35.7,Moderate,41.8,Moderate
P0002,6,70,6,25,5.9,6.2,5.3,3.5,6.6,4.5,90.5,100.0,77.4,4.3,1.8,44,3,Junior,2,14.0,97,3,10,12,8,4,46.0,Moderate,51.8,Moderate
P0002,7,35,3,0,1.8,7.8,3.6,5.1,5.6,4.9,99.5,96.5,65.9,3.3,2.8,44,3,Junior,2,14.0,97,3,10,12,8,4,33.9,Moderate,34.8,Moderate
